x,y,z,Vx,Vy,Vz
7532.838463965429,28142.427772983858,16447.206346894083,-1.339891905398594,1.066093079728827,-3.122314147360098
3496.786212588117,29816.54271734953,7091.835310138743,-1.524733126207642,0.07896683035271525,-3.5163430778409266
-892.2772568051248,28322.345197439936,-2974.463116331397,-1.5775995387146529,-1.1845531593274752,-3.597230117013181
-5140.552632222542,23053.30305438704,-12593.864901858991,-1.4106303722012918,-2.571412140746563,-3.167409399193233
-8552.378514118585,14123.93857076635,-20166.609400902118,-0.9833032478322344,-3.7241138939480622,-2.1450659171544566
-10489.9393177748,2764.524351443847,-24262.488429335743,-0.3850553933619431,-4.25871943943624,-0.7488346199554095
-10719.971277951601,-9084.44690630279,-24406.927966896368,0.2059166641998934,-4.092141547150775,0.6078112354987649
-9464.081463634997,-19731.401479847533,-21165.79278755041,0.6630531055121734,-3.450447332006418,1.640497577886765
-7155.290514457032,-28243.499109800297,-15567.55581045301,0.9587704428139376,-2.607737583693032,2.294577594392515
-4216.374139103168,-34329.96293231739,-8596.140524432354,1.118601660535606,-1.7399633497472708,2.634643300323506
-977.926097437312,-38052.52609492445,-1011.4964792914301,1.178080056319022,-0.9291296354986756,2.74527149007527
2321.7124131838823,-39619.536246353884,6643.842456371109,1.16637069162788,-0.2041132375784294,2.694625882019451
5513.589076774481,-39281.86485483564,13988.66064402301,1.103954780823132,0.4301087008434528,2.530074609428341
8475.89118762478,-37289.58884565759,20750.365092525968,1.004354899779583,0.97743329802169,2.2826576838857795
11117.44848804751,-33877.955873752864,26726.50477142075,0.8762267411939905,1.443828441129584,1.972130517290304
13366.466504040967,-29266.25305347737,31758.76698750518,0.7249600889828252,1.834408699232608,1.610749401887128
15163.00481439434,-23662.22642839314,35715.78639600051,0.5537703749886665,2.152149621130404,1.2058293007263092
16453.975176200358,-17269.12443297098,38481.84739867534,0.3644321506074311,2.397184649695061,0.7614572883413158
17189.87497081237,-10294.52248156646,39949.644232065686,0.1578076629427734,2.566178368023436,0.279731279503093
17322.87745115923,-2961.1352517640776,40016.23317429284,-0.06569038798503453,2.651498424720697,-0.2381463252348563
16806.3030431124,4479.540102630816,38582.26044754353,-0.3055462556252254,2.639996382915417,-0.7905551068090497
15596.020618515613,11729.45614000331,35555.77342268556,-0.5602672990796621,2.5112718730769705,-1.373385698736634
13655.19335535745,18420.69824984504,30863.92240722128,-0.8257815569380271,2.2354971801523065,-1.976275108980092
10965.34301174674,24086.24606176199,24479.41990307939,-1.092374266320129,1.7716265775741933,-2.5754868632501133
7549.34684728633,28129.47924360311,16474.54576442625,-1.339025598323336,1.069176577576733,-3.120917588814329
